status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,target
checking account above 200 DM or salary assignment for at least 1 year,12,all credits at this bank paid back duly,business,609,savings below 100 DM,employed less than 1 year,4,"female divorced, separated, or married",none,1,real estate,26,none,own,1,unemployed or unskilled non-resident,1,no telephone,yes,bad credit
no checking account,12,existing credits paid back duly till now,car (new),1884,savings below 100 DM,employed 7 years or more,4,male single,none,4,car or other property,39,none,own,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,good credit
checking account below 0 DM,12,existing credits paid back duly till now,furniture or equipment,1620,savings below 100 DM,employed between 1 and 4 years,2,"female divorced, separated, or married",co-applicant,3,building society savings agreement or life insurance,30,none,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,20,delay in paying off in the past,others,2629,savings below 100 DM,employed between 1 and 4 years,2,male single,none,3,car or other property,29,bank,own,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,12,existing credits paid back duly till now,education,719,savings below 100 DM,employed 7 years or more,4,male single,none,4,car or other property,41,bank,own,1,unskilled resident,2,no telephone,yes,bad credit
checking account between 0 and 200 DM,48,critical account or other credits existing,furniture or equipment,5096,savings below 100 DM,employed between 1 and 4 years,2,"female divorced, separated, or married",none,3,car or other property,30,none,own,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,bad credit
no checking account,9,critical account or other credits existing,education,1244,unknown or no savings account,employed 7 years or more,4,"female divorced, separated, or married",none,4,building society savings agreement or life insurance,41,none,rent,2,unskilled resident,1,no telephone,yes,good credit
checking account below 0 DM,36,existing credits paid back duly till now,car (new),1842,savings below 100 DM,employed less than 1 year,4,"female divorced, separated, or married",none,4,car or other property,34,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,bad credit
checking account between 0 and 200 DM,7,existing credits paid back duly till now,radio or television,2576,savings below 100 DM,employed between 1 and 4 years,2,male single,guarantor,2,real estate,35,none,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account above 200 DM or salary assignment for at least 1 year,12,existing credits paid back duly till now,furniture or equipment,1424,unknown or no savings account,employed 7 years or more,3,"female divorced, separated, or married",none,4,real estate,55,none,own,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,15,delay in paying off in the past,repairs,1512,savings above 1000 DM,employed between 1 and 4 years,3,male married or widowed,none,3,building society savings agreement or life insurance,61,stores,own,2,skilled employee or official,1,no telephone,yes,bad credit
no checking account,36,critical account or other credits existing,car (used),11054,unknown or no savings account,employed between 1 and 4 years,4,male single,none,2,car or other property,30,none,own,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,good credit
no checking account,6,existing credits paid back duly till now,radio or television,518,savings below 100 DM,employed between 1 and 4 years,3,"female divorced, separated, or married",none,1,real estate,29,none,own,1,skilled employee or official,1,no telephone,yes,good credit
no checking account,12,no credits taken or all credits paid back duly,furniture or equipment,2759,savings below 100 DM,employed 7 years or more,2,male single,none,4,building society savings agreement or life insurance,34,none,own,2,skilled employee or official,1,no telephone,yes,good credit
no checking account,24,existing credits paid back duly till now,car (used),2670,savings below 100 DM,employed 7 years or more,4,male single,none,4,car or other property,35,none,own,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,good credit
checking account below 0 DM,24,existing credits paid back duly till now,car (new),4817,savings below 100 DM,employed between 4 and 7 years,2,male single,co-applicant,3,building society savings agreement or life insurance,31,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,bad credit
no checking account,24,existing credits paid back duly till now,car (used),2679,savings below 100 DM,employed less than 1 year,4,"female divorced, separated, or married",none,1,unknown or no property,29,none,own,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,good credit
checking account below 0 DM,11,critical account or other credits existing,car (new),3905,savings below 100 DM,employed between 1 and 4 years,2,male single,none,2,real estate,36,none,rent,2,skilled employee or official,2,no telephone,yes,good credit
checking account below 0 DM,12,existing credits paid back duly till now,car (used),3386,savings below 100 DM,employed 7 years or more,3,male single,none,4,unknown or no property,35,none,for free,1,skilled employee or official,1,telephone registered under customer name,yes,bad credit
checking account below 0 DM,6,existing credits paid back duly till now,domestic appliances,343,savings below 100 DM,employed less than 1 year,4,"female divorced, separated, or married",none,1,real estate,27,none,own,1,skilled employee or official,1,no telephone,yes,good credit
no checking account,18,existing credits paid back duly till now,radio or television,4594,savings below 100 DM,employed less than 1 year,3,male single,none,2,car or other property,32,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account below 0 DM,36,existing credits paid back duly till now,furniture or equipment,3620,savings below 100 DM,employed between 1 and 4 years,1,male single,guarantor,2,building society savings agreement or life insurance,37,none,own,1,skilled employee or official,2,no telephone,yes,good credit
checking account below 0 DM,15,existing credits paid back duly till now,car (new),1721,savings below 100 DM,employed less than 1 year,2,male single,none,3,real estate,36,none,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,12,existing credits paid back duly till now,furniture or equipment,3017,savings below 100 DM,employed less than 1 year,3,"female divorced, separated, or married",none,1,real estate,34,none,rent,1,"management, self-employed, or highly qualified",1,no telephone,yes,good credit
checking account between 0 and 200 DM,12,existing credits paid back duly till now,retraining,754,unknown or no savings account,employed 7 years or more,4,male single,none,4,building society savings agreement or life insurance,38,none,own,2,skilled employee or official,1,no telephone,yes,good credit
no checking account,18,existing credits paid back duly till now,business,1950,savings below 100 DM,employed between 4 and 7 years,4,male single,none,1,car or other property,34,stores,own,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account below 0 DM,24,existing credits paid back duly till now,car (used),2924,savings below 100 DM,employed between 1 and 4 years,3,male single,guarantor,4,unknown or no property,63,bank,own,1,skilled employee or official,2,telephone registered under customer name,yes,good credit
checking account below 0 DM,24,delay in paying off in the past,radio or television,1659,savings below 100 DM,employed less than 1 year,4,"female divorced, separated, or married",none,2,car or other property,29,none,rent,1,unskilled resident,1,telephone registered under customer name,yes,bad credit
no checking account,48,delay in paying off in the past,radio or television,7238,unknown or no savings account,employed 7 years or more,3,male single,none,3,car or other property,32,bank,own,2,skilled employee or official,2,no telephone,yes,good credit
no checking account,33,delay in paying off in the past,business,2764,savings below 100 DM,employed between 1 and 4 years,2,"female divorced, separated, or married",none,2,car or other property,26,none,own,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,24,delay in paying off in the past,car (used),4679,savings below 100 DM,employed between 4 and 7 years,3,male single,none,3,car or other property,35,none,own,2,unskilled resident,1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,24,existing credits paid back duly till now,radio or television,3092,savings between 100 and 500 DM,employed less than 1 year,3,male married or widowed,none,2,car or other property,22,none,rent,1,skilled employee or official,1,telephone registered under customer name,yes,bad credit
checking account below 0 DM,6,existing credits paid back duly till now,education,448,savings below 100 DM,employed less than 1 year,4,"female divorced, separated, or married",none,4,building society savings agreement or life insurance,23,none,own,1,skilled employee or official,1,no telephone,yes,bad credit
checking account below 0 DM,9,existing credits paid back duly till now,car (new),654,savings below 100 DM,employed between 1 and 4 years,4,male single,none,3,car or other property,28,none,own,1,unskilled resident,1,no telephone,yes,bad credit
no checking account,6,existing credits paid back duly till now,retraining,1238,unknown or no savings account,unemployed,4,male single,none,4,building society savings agreement or life insurance,36,none,own,1,"management, self-employed, or highly qualified",2,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,18,critical account or other credits existing,radio or television,1245,savings below 100 DM,employed between 1 and 4 years,4,male married or widowed,none,2,car or other property,33,none,own,1,skilled employee or official,1,no telephone,yes,bad credit
checking account below 0 DM,18,no credits taken or all credits paid back duly,furniture or equipment,3114,savings below 100 DM,employed less than 1 year,1,"female divorced, separated, or married",none,4,building society savings agreement or life insurance,26,none,rent,1,skilled employee or official,1,no telephone,yes,bad credit
no checking account,39,existing credits paid back duly till now,car (used),2569,savings between 500 and 1000 DM,employed between 1 and 4 years,4,male single,none,4,car or other property,24,none,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account above 200 DM or salary assignment for at least 1 year,24,existing credits paid back duly till now,radio or television,5152,savings below 100 DM,employed between 4 and 7 years,4,male single,none,2,car or other property,25,bank,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,12,existing credits paid back duly till now,business,1037,savings between 100 and 500 DM,employed between 4 and 7 years,3,male single,none,4,real estate,39,none,own,1,unskilled resident,1,no telephone,yes,good credit
checking account below 0 DM,15,critical account or other credits existing,furniture or equipment,1478,savings below 100 DM,employed 7 years or more,4,male single,none,4,car or other property,44,none,own,2,skilled employee or official,2,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,12,critical account or other credits existing,radio or television,3573,savings below 100 DM,employed between 1 and 4 years,1,"female divorced, separated, or married",none,1,real estate,23,none,own,1,unskilled resident,1,no telephone,yes,good credit
checking account between 0 and 200 DM,24,existing credits paid back duly till now,car (new),1201,savings below 100 DM,employed less than 1 year,4,male single,none,1,building society savings agreement or life insurance,26,none,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account below 0 DM,30,existing credits paid back duly till now,furniture or equipment,3622,savings above 1000 DM,employed 7 years or more,4,"female divorced, separated, or married",none,4,building society savings agreement or life insurance,57,none,rent,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,15,delay in paying off in the past,furniture or equipment,960,savings above 1000 DM,employed between 4 and 7 years,3,"female divorced, separated, or married",none,2,building society savings agreement or life insurance,30,none,own,2,skilled employee or official,1,no telephone,yes,good credit
no checking account,12,critical account or other credits existing,car (new),1163,savings between 500 and 1000 DM,employed between 1 and 4 years,4,male single,none,4,real estate,44,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,6,delay in paying off in the past,car (new),1209,savings below 100 DM,unemployed,4,male single,none,4,building society savings agreement or life insurance,47,none,own,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,bad credit
no checking account,12,existing credits paid back duly till now,radio or television,3077,savings below 100 DM,employed between 1 and 4 years,2,male single,none,4,car or other property,52,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,24,existing credits paid back duly till now,car (new),3757,savings below 100 DM,employed 7 years or more,4,"female divorced, separated, or married",co-applicant,4,unknown or no property,62,none,for free,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,10,existing credits paid back duly till now,car (new),1418,savings between 100 and 500 DM,employed between 1 and 4 years,3,male single,none,2,real estate,35,none,rent,1,unskilled resident,1,no telephone,no,good credit
no checking account,6,existing credits paid back duly till now,car (new),3518,savings below 100 DM,employed between 1 and 4 years,2,male single,guarantor,3,building society savings agreement or life insurance,26,none,rent,1,skilled employee or official,1,no telephone,yes,good credit
no checking account,12,critical account or other credits existing,radio or television,1934,savings below 100 DM,employed 7 years or more,2,male single,none,2,unknown or no property,26,none,own,2,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,27,no credits taken or all credits paid back duly,business,8318,savings below 100 DM,employed 7 years or more,2,"female divorced, separated, or married",none,4,unknown or no property,42,none,for free,2,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,bad credit
no checking account,6,critical account or other credits existing,radio or television,1237,savings between 100 and 500 DM,employed between 1 and 4 years,1,"female divorced, separated, or married",none,1,building society savings agreement or life insurance,27,none,own,2,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,6,existing credits paid back duly till now,radio or television,368,unknown or no savings account,employed 7 years or more,4,male single,none,4,building society savings agreement or life insurance,38,none,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account below 0 DM,12,critical account or other credits existing,car (new),2122,savings below 100 DM,employed between 1 and 4 years,3,male single,none,2,real estate,39,none,rent,2,unskilled resident,2,no telephone,no,good credit
checking account below 0 DM,24,existing credits paid back duly till now,furniture or equipment,2996,unknown or no savings account,employed between 1 and 4 years,2,male married or widowed,none,4,car or other property,20,none,own,1,skilled employee or official,1,no telephone,yes,bad credit
checking account between 0 and 200 DM,36,existing credits paid back duly till now,furniture or equipment,9034,savings between 100 and 500 DM,employed less than 1 year,4,male single,co-applicant,1,unknown or no property,29,none,rent,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,bad credit
no checking account,24,critical account or other credits existing,furniture or equipment,1585,savings below 100 DM,employed between 4 and 7 years,4,male single,none,3,building society savings agreement or life insurance,40,none,own,2,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,18,existing credits paid back duly till now,radio or television,1301,savings below 100 DM,employed 7 years or more,4,male married or widowed,guarantor,2,real estate,32,none,own,1,unskilled resident,1,no telephone,yes,good credit
checking account above 200 DM or salary assignment for at least 1 year,6,critical account or other credits existing,car (new),1323,savings between 100 and 500 DM,employed 7 years or more,2,male divorced or separated,none,4,car or other property,28,none,own,2,skilled employee or official,2,telephone registered under customer name,yes,good credit
checking account below 0 DM,24,existing credits paid back duly till now,car (new),3123,savings below 100 DM,employed less than 1 year,4,"female divorced, separated, or married",none,1,building society savings agreement or life insurance,27,none,own,1,skilled employee or official,1,no telephone,yes,bad credit
checking account below 0 DM,36,existing credits paid back duly till now,car (used),5493,savings below 100 DM,employed 7 years or more,2,male single,none,4,unknown or no property,42,none,for free,1,skilled employee or official,2,no telephone,yes,good credit
checking account above 200 DM or salary assignment for at least 1 year,9,existing credits paid back duly till now,radio or television,1126,savings between 100 and 500 DM,employed 7 years or more,2,male divorced or separated,none,4,real estate,49,none,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,24,critical account or other credits existing,radio or television,1216,savings between 100 and 500 DM,employed less than 1 year,4,male single,none,4,unknown or no property,38,bank,own,2,skilled employee or official,2,no telephone,yes,bad credit
checking account below 0 DM,24,existing credits paid back duly till now,car (new),1207,savings below 100 DM,employed less than 1 year,4,"female divorced, separated, or married",none,4,building society savings agreement or life insurance,24,none,rent,1,skilled employee or official,1,no telephone,yes,bad credit
no checking account,10,existing credits paid back duly till now,car (new),1309,unknown or no savings account,employed between 1 and 4 years,4,male single,guarantor,4,building society savings agreement or life insurance,27,none,own,1,unskilled resident,1,no telephone,yes,bad credit
checking account above 200 DM or salary assignment for at least 1 year,15,critical account or other credits existing,car (used),2360,savings between 500 and 1000 DM,employed between 1 and 4 years,2,male single,none,2,car or other property,36,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,15,all credits at this bank paid back duly,car (new),6850,savings between 100 and 500 DM,unemployed,1,male single,none,2,building society savings agreement or life insurance,34,none,own,1,"management, self-employed, or highly qualified",2,telephone registered under customer name,yes,bad credit
no checking account,24,existing credits paid back duly till now,radio or television,1413,savings below 100 DM,employed between 1 and 4 years,4,male married or widowed,none,2,building society savings agreement or life insurance,28,none,own,1,skilled employee or official,1,no telephone,yes,good credit
no checking account,39,existing credits paid back duly till now,car (used),8588,savings between 100 and 500 DM,employed 7 years or more,4,male single,none,2,car or other property,45,none,own,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,good credit
checking account below 0 DM,12,existing credits paid back duly till now,car (new),759,savings below 100 DM,employed between 4 and 7 years,4,male single,none,2,real estate,26,none,own,1,skilled employee or official,1,no telephone,yes,bad credit
no checking account,36,existing credits paid back duly till now,car (used),4686,savings below 100 DM,employed between 1 and 4 years,2,male single,none,2,unknown or no property,32,none,for free,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,good credit
checking account above 200 DM or salary assignment for at least 1 year,15,existing credits paid back duly till now,business,2687,savings below 100 DM,employed between 4 and 7 years,2,male single,none,4,building society savings agreement or life insurance,26,none,rent,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,12,delay in paying off in the past,radio or television,585,savings below 100 DM,employed between 1 and 4 years,4,male married or widowed,co-applicant,4,real estate,20,none,rent,2,skilled employee or official,1,no telephone,yes,good credit
no checking account,24,existing credits paid back duly till now,car (new),2255,unknown or no savings account,employed less than 1 year,4,male single,none,1,building society savings agreement or life insurance,54,none,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account below 0 DM,6,critical account or other credits existing,car (new),609,savings below 100 DM,employed between 4 and 7 years,4,"female divorced, separated, or married",none,3,building society savings agreement or life insurance,37,none,own,2,skilled employee or official,1,no telephone,no,good credit
checking account below 0 DM,6,critical account or other credits existing,car (new),1361,savings below 100 DM,employed less than 1 year,2,male single,none,4,real estate,40,none,own,1,unskilled resident,2,no telephone,no,good credit
no checking account,36,critical account or other credits existing,furniture or equipment,7127,savings below 100 DM,employed less than 1 year,2,"female divorced, separated, or married",none,4,building society savings agreement or life insurance,23,none,rent,2,skilled employee or official,1,telephone registered under customer name,yes,bad credit
checking account below 0 DM,6,existing credits paid back duly till now,car (new),1203,savings between 100 and 500 DM,employed 7 years or more,3,male single,none,2,building society savings agreement or life insurance,43,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,6,critical account or other credits existing,radio or television,700,unknown or no savings account,employed 7 years or more,4,male single,none,4,unknown or no property,36,none,for free,2,skilled employee or official,1,no telephone,yes,good credit
no checking account,24,critical account or other credits existing,repairs,5507,savings below 100 DM,employed 7 years or more,3,male single,none,4,unknown or no property,44,none,for free,2,skilled employee or official,1,no telephone,yes,good credit
checking account below 0 DM,18,existing credits paid back duly till now,radio or television,3190,savings below 100 DM,employed between 1 and 4 years,2,"female divorced, separated, or married",none,2,real estate,24,none,own,1,skilled employee or official,1,no telephone,yes,bad credit
checking account below 0 DM,48,no credits taken or all credits paid back duly,furniture or equipment,7119,savings below 100 DM,employed between 1 and 4 years,3,male single,none,4,unknown or no property,53,none,for free,2,skilled employee or official,2,no telephone,yes,bad credit
no checking account,24,existing credits paid back duly till now,car (used),3488,savings between 100 and 500 DM,employed between 4 and 7 years,3,"female divorced, separated, or married",none,4,car or other property,23,none,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,18,existing credits paid back duly till now,radio or television,1113,savings below 100 DM,employed between 1 and 4 years,4,"female divorced, separated, or married",guarantor,4,real estate,26,none,own,1,unskilled resident,2,no telephone,yes,good credit
checking account between 0 and 200 DM,26,existing credits paid back duly till now,car (used),7966,savings below 100 DM,employed less than 1 year,2,male single,none,3,car or other property,30,none,own,2,skilled employee or official,1,no telephone,yes,good credit
no checking account,15,critical account or other credits existing,education,1532,savings between 100 and 500 DM,employed between 1 and 4 years,4,"female divorced, separated, or married",none,3,car or other property,31,none,own,1,skilled employee or official,1,no telephone,yes,good credit
no checking account,4,critical account or other credits existing,radio or television,1503,savings below 100 DM,employed between 4 and 7 years,2,male single,none,1,real estate,42,none,own,2,unskilled resident,2,no telephone,yes,good credit
checking account below 0 DM,36,existing credits paid back duly till now,radio or television,2302,savings below 100 DM,employed between 1 and 4 years,4,male divorced or separated,none,4,car or other property,31,none,rent,1,skilled employee or official,1,no telephone,yes,bad credit
checking account below 0 DM,6,existing credits paid back duly till now,car (new),662,savings below 100 DM,employed less than 1 year,3,male single,none,4,real estate,41,none,own,1,unskilled resident,2,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,36,existing credits paid back duly till now,education,2273,savings below 100 DM,employed between 4 and 7 years,3,male single,none,1,car or other property,32,none,own,2,skilled employee or official,2,no telephone,yes,good credit
checking account between 0 and 200 DM,15,existing credits paid back duly till now,car (new),2631,savings between 100 and 500 DM,employed between 1 and 4 years,2,"female divorced, separated, or married",none,4,car or other property,28,none,rent,2,skilled employee or official,1,telephone registered under customer name,yes,bad credit
no checking account,12,delay in paying off in the past,car (used),1503,savings below 100 DM,employed between 1 and 4 years,4,male married or widowed,none,4,real estate,41,none,rent,1,skilled employee or official,1,no telephone,yes,good credit
no checking account,24,existing credits paid back duly till now,radio or television,1311,savings between 100 and 500 DM,employed between 4 and 7 years,4,male married or widowed,none,3,building society savings agreement or life insurance,26,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,24,existing credits paid back duly till now,radio or television,3105,unknown or no savings account,employed less than 1 year,4,male single,none,2,car or other property,25,none,own,2,skilled employee or official,1,no telephone,yes,good credit
checking account above 200 DM or salary assignment for at least 1 year,21,critical account or other credits existing,education,2319,savings below 100 DM,employed less than 1 year,2,male divorced or separated,none,1,car or other property,33,none,rent,1,skilled employee or official,1,no telephone,yes,bad credit
checking account below 0 DM,6,existing credits paid back duly till now,car (new),1374,unknown or no savings account,unemployed,4,"female divorced, separated, or married",none,3,building society savings agreement or life insurance,75,none,own,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,18,critical account or other credits existing,furniture or equipment,3612,savings below 100 DM,employed 7 years or more,3,"female divorced, separated, or married",none,4,building society savings agreement or life insurance,37,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account below 0 DM,48,existing credits paid back duly till now,car (new),7763,savings below 100 DM,employed 7 years or more,4,male single,none,4,unknown or no property,42,bank,for free,1,"management, self-employed, or highly qualified",1,no telephone,yes,bad credit
checking account above 200 DM or salary assignment for at least 1 year,18,existing credits paid back duly till now,furniture or equipment,3049,savings below 100 DM,employed less than 1 year,1,"female divorced, separated, or married",none,1,building society savings agreement or life insurance,45,stores,own,1,unskilled resident,1,no telephone,yes,good credit
checking account between 0 and 200 DM,12,existing credits paid back duly till now,radio or television,1534,savings below 100 DM,employed less than 1 year,1,male married or widowed,none,1,real estate,23,none,rent,1,skilled employee or official,1,no telephone,yes,bad credit
no checking account,24,delay in paying off in the past,car (new),2032,savings below 100 DM,employed 7 years or more,4,male single,none,4,unknown or no property,60,none,for free,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account below 0 DM,30,existing credits paid back duly till now,furniture or equipment,6350,unknown or no savings account,employed 7 years or more,4,male single,none,4,building society savings agreement or life insurance,31,none,own,1,skilled employee or official,1,no telephone,yes,bad credit
checking account above 200 DM or salary assignment for at least 1 year,18,existing credits paid back duly till now,furniture or equipment,2864,savings below 100 DM,employed between 1 and 4 years,2,male single,none,1,real estate,34,none,own,1,unskilled resident,2,no telephone,yes,bad credit
no checking account,12,critical account or other credits existing,car (new),1255,savings below 100 DM,employed 7 years or more,4,male single,none,4,real estate,61,none,own,2,unskilled resident,1,no telephone,yes,good credit
checking account below 0 DM,24,delay in paying off in the past,car (new),1333,savings below 100 DM,unemployed,4,male single,none,2,real estate,43,none,for free,2,skilled employee or official,2,no telephone,yes,bad credit
no checking account,24,critical account or other credits existing,car (new),2022,savings below 100 DM,employed between 1 and 4 years,4,"female divorced, separated, or married",none,4,car or other property,37,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,24,existing credits paid back duly till now,radio or television,1552,savings below 100 DM,employed between 4 and 7 years,3,male single,none,1,car or other property,32,bank,own,1,skilled employee or official,2,no telephone,yes,good credit
checking account below 0 DM,12,all credits at this bank paid back duly,radio or television,626,savings below 100 DM,employed between 1 and 4 years,4,"female divorced, separated, or married",none,4,real estate,24,bank,own,1,unskilled resident,1,no telephone,yes,bad credit
no checking account,48,critical account or other credits existing,car (used),8858,unknown or no savings account,employed between 4 and 7 years,2,male single,none,1,unknown or no property,35,none,for free,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,12,critical account or other credits existing,repairs,996,unknown or no savings account,employed between 4 and 7 years,4,"female divorced, separated, or married",none,4,real estate,23,none,own,2,skilled employee or official,1,no telephone,yes,good credit
no checking account,6,all credits at this bank paid back duly,radio or television,1750,savings between 500 and 1000 DM,employed 7 years or more,2,male single,none,4,building society savings agreement or life insurance,45,bank,own,1,unskilled resident,2,no telephone,yes,good credit
checking account below 0 DM,48,existing credits paid back duly till now,radio or television,6999,savings below 100 DM,employed between 4 and 7 years,1,male married or widowed,guarantor,1,real estate,34,none,own,2,skilled employee or official,1,telephone registered under customer name,yes,bad credit
checking account between 0 and 200 DM,12,critical account or other credits existing,car (new),1995,savings between 100 and 500 DM,employed less than 1 year,4,male single,none,1,car or other property,27,none,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,9,existing credits paid back duly till now,education,1199,savings below 100 DM,employed between 4 and 7 years,4,"female divorced, separated, or married",none,4,building society savings agreement or life insurance,67,none,own,2,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,12,existing credits paid back duly till now,radio or television,1331,savings below 100 DM,employed less than 1 year,2,male single,none,1,car or other property,22,stores,own,1,skilled employee or official,1,no telephone,yes,bad credit
checking account between 0 and 200 DM,18,no credits taken or all credits paid back duly,car (new),2278,savings between 100 and 500 DM,employed less than 1 year,3,"female divorced, separated, or married",none,3,car or other property,28,none,own,2,skilled employee or official,1,no telephone,yes,bad credit
no checking account,21,no credits taken or all credits paid back duly,car (new),5003,unknown or no savings account,employed between 1 and 4 years,1,"female divorced, separated, or married",none,4,building society savings agreement or life insurance,29,bank,own,2,skilled employee or official,1,telephone registered under customer name,yes,bad credit
checking account below 0 DM,24,all credits at this bank paid back duly,furniture or equipment,3552,savings below 100 DM,employed between 4 and 7 years,3,male single,none,4,car or other property,27,bank,own,1,skilled employee or official,1,no telephone,yes,bad credit
checking account between 0 and 200 DM,18,critical account or other credits existing,furniture or equipment,1928,savings below 100 DM,employed less than 1 year,2,male single,none,2,real estate,31,none,own,2,unskilled resident,1,no telephone,yes,bad credit
checking account below 0 DM,24,existing credits paid back duly till now,car (used),2964,unknown or no savings account,employed 7 years or more,4,male single,none,4,unknown or no property,49,bank,for free,1,skilled employee or official,2,telephone registered under customer name,yes,good credit
checking account below 0 DM,24,all credits at this bank paid back duly,radio or television,1546,savings below 100 DM,employed between 4 and 7 years,4,male single,guarantor,4,car or other property,24,bank,rent,1,unskilled resident,1,no telephone,yes,bad credit
checking account above 200 DM or salary assignment for at least 1 year,6,delay in paying off in the past,radio or television,683,savings below 100 DM,employed less than 1 year,2,"female divorced, separated, or married",none,1,building society savings agreement or life insurance,29,bank,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,36,existing credits paid back duly till now,car (new),12389,unknown or no savings account,employed between 1 and 4 years,1,male single,none,4,unknown or no property,37,none,for free,1,skilled employee or official,1,telephone registered under customer name,yes,bad credit
checking account between 0 and 200 DM,24,delay in paying off in the past,business,4712,unknown or no savings account,employed between 1 and 4 years,4,male single,none,2,building society savings agreement or life insurance,37,bank,own,2,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,24,delay in paying off in the past,radio or television,1553,savings between 100 and 500 DM,employed between 4 and 7 years,3,"female divorced, separated, or married",none,2,building society savings agreement or life insurance,23,none,rent,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account below 0 DM,12,existing credits paid back duly till now,car (new),1372,savings below 100 DM,employed between 4 and 7 years,2,male divorced or separated,none,3,car or other property,36,none,own,1,skilled employee or official,1,no telephone,yes,bad credit
no checking account,24,critical account or other credits existing,radio or television,2578,savings above 1000 DM,employed 7 years or more,2,male single,none,2,car or other property,34,none,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,48,existing credits paid back duly till now,radio or television,3979,unknown or no savings account,employed between 4 and 7 years,4,male single,none,1,car or other property,41,none,own,2,skilled employee or official,2,telephone registered under customer name,yes,good credit
checking account below 0 DM,48,existing credits paid back duly till now,radio or television,6758,savings below 100 DM,employed between 1 and 4 years,3,"female divorced, separated, or married",none,2,car or other property,31,none,own,1,skilled employee or official,1,telephone registered under customer name,yes,bad credit
